fecha;sucursal;sku;codigo;producto;lado;cantidad;precio_unitario;total;vendedor;nota
2026-07-24;SANTA CRUZ;DEPO-01121;SZ07034GA7;MASCARA SUZUKI VITARA;;100;650,0;65000,0;Mau;QR 
2026-07-24;SANTA CRUZ;DEPO-01121;SZ07034GA7;MASCARA SUZUKI VITARA;;100;650,0;65000,0;Mau;
