BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
870029-G;LB-14R-Y;AMORT/DEL (RH) RECARGABLE C/ROSCA TOY IPSUM/CALDINA MODERNO;KO;YOI;UNI;70,00;17,65
870132-G;341398;AMORT/DEL (RH) TOY HILUX FORTUNER/HILUX VIGO KUN-15 '2004-2016;KO;YOI;UNI;53,00;17,01
870111-G;4851002150;AMORT/DEL (RH) TOYOTA COROLLA ZZE121;KO;YOI;UNI;105,00;18,18
870061;HQ-B-3285;AMORT/DEL (RH) TOYOTA RAV4 2000;KO;YOI;UNI;14,00;21,05
870087-G;48511-26282;AMORT/DEL HIACE LH100/101, RZH100/101 WAGON ´89/08-95/08;KO;YOI;UNI;10,00;8,47
870073-G;2649;AMORT/DEL HILUX 4WD JAPON-KA1780;KO;YOI;UNI;57,00;7,20
870117-G;341440;AMORT/DEL L/R TOY TUNDRA 2ED/4WD 04/09;KO;YOI;UNI;84,00;15,89
120054;444012;AMORT/DEL MIT LAND CRUISER MONTERO YOITOKI;KO;YOI;UNI;1,00;7,07
870088-G;MB948337;AMORT/DEL MITSUBISHI  SPACE R/L 92/09;KO;YOI;UNI;41,00;18,95
870003-O;3143-Y;AMORT/DEL MITSUBISHI BK215 / TOY IPSUM SXM10 / CALDINA;KO;YOI;UNI;691,00;7,07
870003-G;3143--Y;AMORT/DEL MITSUBISHI BK215 / TOY IPSUM SXM10 / CALDINA AT196 / COROLLA EE91/EE102/EE103;KO;YOI;UNI;310,00;7,07
120039;444117;AMORT/DEL MITSUBISHI FORTE L022G/L26G YOITOKI;KO;YOI;UNI;1,00;7,07
870004-G;3338-Y;AMORT/DEL MITSUBISHI FORTE L022G/L26G YOITOKI;KO;YOI;UNI;189,00;7,07
870092-G;5430354Y00;AMORT/DEL NISSAN B13 LH;KO;YOI;UNI;33,00;17,05
870100-G;56110VW003;AMORT/DEL NISSAN CARAVAN E25;KO;YOI;UNI;79,00;7,70
870094;HQ-333748;AMORT/DEL NISSAN NOTE LH 02/06 GAS;KO;YOI;UNI;17,00;18,95
870094-G;333748;AMORT/DEL NISSAN NOTE LH 02/06 GAS;KO;YOI;UNI;96,00;18,95
870093;HQ-333747;AMORT/DEL NISSAN NOTE RH 02/06 GAS;KO;YOI;UNI;18,00;18,95
870093-G;333747;AMORT/DEL NISSAN NOTE RH 02/06 GAS;KO;YOI;UNI;96,00;18,95
870128-G;334360;AMORT/DEL NISSAN X-TRAIL 01;KO;YOI;UNI;35,00;20,75
870129-G;334361;AMORT/DEL NISSAN X-TRAIL 01;KO;YOI;UNI;36,00;20,75
120067;LB-14R--Y;AMORT/DEL RECARGABLE C/ROSCA TOY IPSUM/CALDIN;KO;YOI;UNI;5,00;17,65
870090-G;4160261J00;AMORT/DEL SUZ APV LH 06/07;KO;YOI;UNI;47,00;17,90
870090;HQ-4160261J00;AMORT/DEL SUZUKI APV LH 06/07;KO;YOI;UNI;1,00;17,90
870089;HQ-4160161J00;AMORT/DEL SUZUKI APV RH 06/07;KO;YOI;UNI;1,00;17,90
870046-G;S-1065-Y;AMORT/DEL TOY  KE70/AE70 80/83 R/L VAN;KO;YOI;UNI;45,00;12,08
870039-O;S-1052-Y;AMORT/DEL TOY /COROLLA/TERCEL 75/85;KO;YOI;UNI;169,00;12,08
120075;48510-12780-HD-R/L;AMORT/DEL TOY AE100/CE100 (LH/RH);KO;YOI;UNI;2,00;18,13
870002-O;S-3014-Y;AMORT/DEL TOY AE85/TE70/CE70/COROLLA YOITOKI;KO;YOI;UNI;98,00;12,08
870002-G;S-3014-Y-G;AMORT/DEL TOY AE85/TE70/CE70/COROLLA YOITOKI;KO;YOI;UNI;67,00;12,08
870039-G;S-1052-Y-G;AMORT/DEL TOY AL1/COROLLA/TERCEL 75/85 TOKIKO;KO;YOI;UNI;1,00;12,08
870000-O;S-3007-Y;AMORT/DEL TOY CARINA 80 YOITOKI;KO;YOI;UNI;149,00;12,08
870038-O;S-3073-Y;AMORT/DEL TOY CE80/ST150/CT150 YOITOKI;KO;YOI;UNI;26,00;12,08
120051;B-3089-Y;AMORT/DEL TOY COROLLA LH AE91 YOITOKI;KO;YOI;UNI;503,00;17,65
120050;B-3088-Y;AMORT/DEL TOY COROLLA RH AE91 YOITOKI;KO;YOI;UNI;576,00;17,65
870074-O;S-1088;AMORT/DEL TOY EP71/EP76V STARLET;KO;YOI;UNI;160,00;12,08
870001-O;S-1082-Y;AMORT/DEL TOY GASOLINA AUT/VAG YOITOKI;KO;YOI;UNI;99,00;12,08
870050-G;EL-2726-Y;AMORT/DEL TOY HILUX LN50/YN51 TIPO GAS;KO;YOI;UNI;379,00;8,47
870020-G;3388---Y;AMORT/DEL TOY HILUX LN61V 85/88;KO;YOI;UNI;356,00;7,82
870020-O;3388-Y;AMORT/DEL TOY HILUX LN61V 85/88 YOITOKI;KO;YOI;UNI;30,00;7,82
870023-O;3373-Y;AMORT/DEL TOY LAND CRUISER BJ70/FJ75 YOITOKI;KO;YOI;UNI;49,00;7,07
870023-G;HQ-3373-Y;AMORT/DEL TOY LAND CRUISER BJ70/FJ75 YOITOKI;KO;YOI;UNI;119,00;7,07
870025-O;3169-Y;AMORT/DEL TOY/ISUZU TL23N/TL60/EFL YOITOKI;KO;YOI;UNI;158,00;7,07
870025-G;3169-Y-G;AMORT/DEL TOY/ISUZU TL23N/TL60/EFL YOITOKI;KO;YOI;UNI;308,00;7,07
