BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
231018;215-2815-R-KO;CANTONERA TRAS NISS E24 87/99 KO;KO;S/M;UNI;185,00;2,40
221089;TY20149A;CAPO TOY SCION X 04 IST;TW;TYG;UNI;15,00;112,00
221086;TY20120A;CAPOTA TOY PROBOX 02;TW;TYG;UNI;24,00;73,50
121189;YOI-158;CAPUCHON CREMALLERA CORTO/ALARGADO YOI;KO;YOI;UNI;4.250,00;0,79
121197;YOI-223;CAPUCHON TRICETA NISSAN PATHFINDER;KO;YOI;UNI;1,00;0,87
221052;BVDA-CE101;CHAPA DE PUERTA TOY COROLLA CE100 92/95;KO;S/M;UNI;149,00;10,40
121116;YSM-6594;CONMUTADOR DE PALACA LUZ AE/EE90/80 COROLLA;TW;NAK;UNI;1,00;3,01
121201;RACK-DIING;CREMALLERA DIING UNIV  MECANICA;KO;DIING;UNI;1,00;21,00
121191;RACK-9016;CREMALLERA HIDRAULICA L NISSAN B14/15 MITS/SR;KO;YOI;UNI;132,00;119,00
121080;GUIS-63;CRUCETA CARDAN KE70 DIESEL;TW;CIB;UNI;1,00;2,83
121225;YOI-275;CRUCETA DIRECCION TOY HIACE HIDRAULICO;KO;YOI;UNI;109,00;9,30
121224;YOI-274;CRUCETA DIRECCION TOY PRADO/LAND CRUISER/IPSUM;KO;YOI;UNI;115,00;12,00
322002;FXJ-188;EMBLEMA CAPO TOY CON 3LUZ/AZUL/ROJO/VERDE;TW;S/M;UNI;214,00;1,10
222105;HLL01-2627-003;ESPEJO LAT TOY IPSUM SXN20 99 MANUAL;KO;S/M;SET;111,00;39,35
222112;HLL05-1231 L/R;ESPEJO LAT. MAZDA BONGO 86/06 KO;KO;S/M;SET;8,00;23,00
322122;ESP-E25-KO;ESPEJO LAT. NISSAN E25 02/08 R/L CROMO KO;KO;S/M;SET;54,00;19,00
222107;ESP-HIACE 04/06 KO;ESPEJO LAT. TOY HIACE 04/06 R/L KO;KO;S/M;SET;78,00;17,00
222103;HLL01-4156;ESPEJO TOY PROBOX 96/98 SET G/N;KO;DENNY;SET;16,00;23,50
222104;HLL01-1562-L-R;ESPEJO TOY VIGO CAMIONETA MANUAL SET;KO;DENNY;SET;1,50;45,00
120714;YOI-192;ESTABILIZADOR U TOY NOAH DELANTERO;KO;YOI;UNI;2.617,00;2,00
221927;313-1112L-US2;FARO ISUZU RODEO SPORT 2001- 03.;TW;DEPO;PCS;2,00;45,00
221928;313-1112R-US2;FARO ISUZU RODEO SPORT 2001- 03.;TW;DEPO;PCS;2,00;45,00
221771;218-1134L-LD-E2;FARO SUZUKI SWIFT..'04-'05.NEGRO;TW;DEPO;PCS;3,00;46,60
221772;218-1134R-LD-E2;FARO SUZUKI SWIFT..'04-'05.NEGRO;TW;DEPO;PCS;2,00;46,60
221811;211-1132L-LD-EM;FAROL DAIHATSU TERIOS 07.NAUTICA 08;TW;DEPO;UNI;2,00;43,00
221812;211-1132R-LD-EM;FAROL DAIHATSU TERIOS 07.NAUTICA 08;TW;DEPO;UNI;1,00;43,00
222583;214-2024-PXA;FAROL HALOGENO  MITSUBISHI DELICA SPACE TUNIN;TW;DEPO;SET;4,50;77,00
221555;214-2026R-AE;FAROL HALOGENO MITSUBISHI MONTERO 00/03 PAJER;TW;DEPO;UNI;3,00;18,00
221554;214-2026L-AE;FAROL HALOGENO MITSUBISHI PAJERO 00/03 MONTER;TW;DEPO;UNI;4,00;18,00
221982;221-1145L-LD-E;FAROL HYUNDAI  I10 2010/08;TW;DEPO;PCS;12,00;48,50
221983;221-1145R-LD-E;FAROL HYUNDAI  I10 2010/08;TW;DEPO;PCS;11,00;48,50
221817;221-1140L-LD-E;FAROL HYUNDAI ACCENT 06. 4D CRISTAL LIGHT;TW;DEPO;UNI;6,00;35,50
221818;221-1140R-LD-E;FAROL HYUNDAI ACCENT 06. 4D CRISTAL LIGHT;TW;DEPO;UNI;5,00;35,50
221813;221-1114L-LD-E;FAROL HYUNDAI VAN H100..96-2003;TW;DEPO;UNI;3,00;21,00
221937;221-1137L-RD;FAROL HYUNDAY ACCENT 2004-;TW;DEPO;PCS;4,00;25,00
221938;221-1137R-RD;FAROL HYUNDAY ACCENT 2004-;TW;DEPO;PCS;4,00;25,00
221768;216-1153L-LD-E;FAROL MAZDA BONGO E VAN/E2000 99..;TW;DEPO;UNI;35,00;43,00
221769;216-1153R-LD-E;FAROL MAZDA BONGO E VAN/E2000 99..;TW;DEPO;UNI;30,00;43,00
222652;331-1122-L-S;FAROL MERCURY SPORTS 97 MOUNTAINEER USA;TW;DEPO;ca;6,00;14,00
222653;331-1122-R-S;FAROL MERCURY SPORTS 97 MOUNTAINEER USA;TW;DEPO;UNI;6,00;14,00
221685;214-1185R-LD-E;FAROL MITSUBISHI L200 05 TRITON/SPORTERO;TW;DEPO;UNI;2,00;28,00
221566;214-1162R-LD;FAROL MITSUBISHI MINI PAJERO 2002 STANDART;TW;DEPO;UNI;4,00;35,00
221565;214-1162L-LD;FAROL MITSUBISHI MINI PAJERO STANDART;TW;DEPO;UNI;4,00;35,00
221758;214-1186L-LD-E;FAROL MITSUBISHI MONTERO/PAJERO 2007 CRISTAL;TW;DEPO;UNI;2,00;78,00
221759;214-1186R-LD-E;FAROL MITSUBISHI MONTERO/PAJERO 2007 CRISTAL;TW;DEPO;UNI;2,00;78,00
221898;214-1197L-LD-EM;FAROL MITSUBISHI PAJERO SPORT 2009;TW;DEPO;UNI;9,00;73,50
221899;214-1197R-LD-EM;FAROL MITSUBISHI PAJERO SPORT 2009;TW;DEPO;UNI;9,00;73,50
221941;315-1177L-AS;FAROL NISS. ALTIMA SEDAN 2010-12 C/ HALOGENO;TW;DEPO;PCS;6,00;72,00
221942;315-1177R-AS;FAROL NISS. ALTIMA SEDAN 2010-12 C/ HALOGENO;TW;DEPO;PCS;5,00;72,00
221857;215-11B5L-LD-EM;FAROL NISS. NOTE..06-09. ELEC/MANUAL;TW;DEPO;UNI;19,00;61,00
221858;215-11B5R-LD-EM;FAROL NISS. NOTE..06-09. ELEC/MANUAL;TW;DEPO;UNI;18,00;61,00
227109;115-1133L-LD-EM;FAROL NISS. SUNNY 2014.;TW;DEPO;PCS;2,00;75,00
227110;115-1133R-LD-EM;FAROL NISS. SUNNY 2014.;TW;DEPO;PCS;1,00;75,00
221469;215-11G3L-LD;FAROL NISS. URVAN / CARAVAN 2013;TW;DEPO;PCS;5,00;70,00
221470;215-11G3R-LD;FAROL NISS. URVAN / CARAVAN 2013;TW;DEPO;PCS;5,00;70,00
221972;315-1177LMUSM;FAROL NISS.ALTIMA SEDAN 2010;TW;DEPO;UNI;6,00;62,00
221973;315-1177RMUSM;FAROL NISS.ALTIMA SEDAN 2010;TW;DEPO;UNI;6,00;62,00
227131;215-11F8L-LD-EM;FAROL NISS.PATHFINDER 2010-12.;TW;DEPO;PCS;3,00;59,00
227132;215-11F8R-LD-EM;FAROL NISS.PATHFINDER 2010-12.;TW;DEPO;PCS;3,00;59,00
221896;215-11B7L-LD-E;FAROL NISS.SUNNY / ALMERA 2007 CRISTAL LIGHT;TW;DEPO;UNI;3,00;36,00
221897;215-11B7R-LD-E;FAROL NISS.SUNNY / ALMERA 2007 CRISTAL LIGHT;TW;DEPO;UNI;3,00;36,00
221851;215-1185L-LD-E;FAROL NISSAN 720 -2000-2001 CAMIONETA;TW;DEPO;UNI;9,00;18,00
221852;215-1185R-LD-E;FAROL NISSAN 720 -2000-2001 CAMIONETA;TW;DEPO;UNI;9,00;18,00
221580;315-1155L-US;FAROL NISSAN ARMADA 04/06 TITAN 04/05;TW;DEPO;UNI;2,00;58,00
221581;315-1155R-US;FAROL NISSAN ARMADA 04/06 TITAN 04/05;TW;DEPO;UNI;2,00;58,00
232464;215-11B4-L-KO;FAROL NISSAN E25 06/08 KO;KO;S/M;UNI;8,00;21,50
232465;215-11B4-R-KO;FAROL NISSAN E25 06/08 KO;KO;S/M;UNI;7,00;21,50
221716;215-1155L-LD-EM;FAROL NISSAN MARCH/MICRA 93-97;TW;DEPO;UNI;1,00;15,00
221582;315-1156L-US;FAROL NISSAN MURANO 03/04/06;TW;DEPO;UNI;4,00;53,00
221583;315-1156R-US;FAROL NISSAN MURANO 03/04/06;TW;DEPO;UNI;4,00;53,00
222726;315-1136L-US;FAROL NISSAN PATHFINDER 98/2004 CRISTAL VAGON;TW;DEPO;UNI;6,00;20,00
222727;315-1136R-US;FAROL NISSAN PATHFINDER 98/2004 CRISTAL VAGON;TW;DEPO;UNI;5,00;20,00
221785;215-11B2-L-LD-EM;FAROL NISSAN PATHFINDER/NAVARA 2004/2005;TW;DEPO;UNI;18,00;59,00
221786;215-11B2-R-LD-EM;FAROL NISSAN PATHFINDER/NAVARA 2004/2005;TW;DEPO;UNI;18,00;59,00
222734;215-1179L-LD;FAROL NISSAN SUNNY 98/99;TW;DEPO;UNI;5,00;16,50
222735;215-1179R-LD;FAROL NISSAN SUNNY 98/99;TW;DEPO;UNI;2,00;16,50
222573;215-1142L-LD;FAROL NISSAN SUNNY B12 85/86 AUTO;TW;DEPO;UNI;2,00;12,00
222574;215-1142R-LD;FAROL NISSAN SUNNY B12 85/86 AUTO;TW;DEPO;UNI;1,00;12,00
222611;215-1111R-LD;FAROL NISSAN SUNNY B12 SENTRA  87;TW;DEPO;UNI;2,00;10,00
222716;215-1129L-LD;FAROL NISSAN SUNNY SENTRA 88/89 B12;TW;DEPO;UNI;3,00;15,00
222717;215-1129R-LD;FAROL NISSAN SUNNY SENTRA 88/89 B12;TW;DEPO;UNI;2,00;15,00
221567;215-1138-L-LD-Y;FAROL NISSAN TRUCK CH520/450/CD520;TW;DEPO;UNI;18,00;21,00
221568;215-1138-R-LD-Y;FAROL NISSAN TRUCK CH520/450/CD520;TW;DEPO;UNI;18,00;21,00
221523;215-11A5L-LD-E;FAROL NISSAN URVAN CARAVAN E24 /02 E25 2005/0;TW;DEPO;UNI;14,00;26,00
221524;215-11A5R-LD-E;FAROL NISSAN URVAN CARAVAN E24 E25 2005/06 VA;TW;DEPO;UNI;13,00;26,00
221538;215-11B4L-LD-EM;FAROL NISSAN URVAN/CARAVAN E25 07/08 EM;TW;DEPO;UNI;6,00;37,00
222795;320-1111R-US;FAROL SUBARU FORESTER 98/2005 CRISTAL USA;TW;DEPO;UNI;1,00;40,00
222792;320-1108L-USD;FAROL SUBARU FORESTER 98/2005 USA;TW;DEPO;UNI;7,00;45,00
222793;320-1108R-USD;FAROL SUBARU FORESTER 98/2005 USA;TW;DEPO;UNI;14,00;45,00
221637;320-1112L-USD;FAROL SUBARU IMPREZA/SEDAN/WAGON/AOUTBACK 93-;TW;DEPO;UNI;6,00;58,00
221638;320-1112R-USD;FAROL SUBARU IMPREZA/SEDAN/WAGON/AOUTBACK 93-;TW;DEPO;UNI;5,00;58,00
221836;218-1133L-LD-E;FAROL SUZUKI APV 2008,CARRY 08 CRISTAL;TW;DEPO;UNI;1,00;48,00
221612;218-1136L-LD-EM;FAROL SUZUKI GRAND VITARA 2005 3D1,6;TW;DEPO;UNI;2,00;59,00
221613;218-1136R-LD-EM;FAROL SUZUKI GRAND VITARA 2005 3D1,6;TW;DEPO;UNI;1,00;59,00
221751;218-1135L-LDEM7;FAROL SUZUKI GRAND VITARA..2.0/05  5D;TW;DEPO;UNI;7,00;99,00
221752;218-1135R-LDEM7;FAROL SUZUKI GRAND VITARA..2.0/05  5D;TW;DEPO;UNI;6,00;99,00
221525;218-1126L-LDEM2;FAROL SUZUKI JIMNY  01/05;TW;DEPO;UNI;15,00;64,50
221526;218-1126R-LDEM2;FAROL SUZUKI JIMNY  01/05;TW;DEPO;UNI;15,00;64,50
221556;218-1134L-LD-E1;FAROL SUZUKI SWIFT 04/05 ECE MANUAL CRM;TW;DEPO;UNI;6,00;41,50
221557;218-1134R-LD-E1;FAROL SUZUKI SWIFT 04/05 ECE MANUAL CRM;TW;DEPO;UNI;5,00;41,50
221900;218-1117L-LD-EM;FAROL SUZUKI SWIFT 96/2003 CRISTAL;TW;DEPO;UNI;4,00;25,00
221901;218-1117R-LD-EM;FAROL SUZUKI SWIFT 96/2003 CRISTAL;TW;DEPO;UNI;3,00;25,00
221906;318-1110L-US;FAROL SUZUKI SX4  2007/11;TW;DEPO;UNI;2,00;98,00
221907;318-1110R-US;FAROL SUZUKI SX4  2007/11;TW;DEPO;UNI;1,00;98,00
222686;212-1187L-LD-EM;FAROL TOY CALDINA/AVENSIS 98/2002 CT220 CRIST;TW;DEPO;UNI;3,00;31,00
232423;212-1147-L-KO-LL;FAROL TOY CARINA/CORONA 92 LL KO;KO;S/M;UNI;135,00;9,67
232424;212-1147-R-KO-LL;FAROL TOY CARINA/CORONA 92 LL KO;KO;S/M;UNI;150,00;9,67
221589;212-11A4-R-LD-EM;FAROL TOY COROLLA 00 AE112 ZZ110;TW;DEPO;UNI;7,00;31,50
221588;212-11A4-L-LD-EM;FAROL TOY COROLLA 00/AE112 ZZ110;TW;DEPO;UNI;7,00;31,50
221559;212-11B5R-LD;FAROL TOY COROLLA 2001/02;TW;DEPO;UNI;4,00;28,50
221710;212-11H6L-LD-EM;FAROL TOY COROLLA 3D/5D '04;TW;DEPO;UNI;16,00;45,50
221711;212-11H6R-LD-EM;FAROL TOY COROLLA 4D/5D '04;TW;DEPO;UNI;15,00;45,50
222560;212-1193L-RD;FAROL TOY COROLLA AE101 99;TW;DEPO;UNI;249,00;18,20
222561;212-1193R-RD;FAROL TOY COROLLA AE101 99;TW;DEPO;UNI;245,00;18,20
221562;212-11G4L-LD-E;FAROL TOY COROLLA..'05 JAPAN TIPE ECE MANUAL;TW;DEPO;UNI;6,00;29,99
221563;212-11G4R-LD-E;FAROL TOY COROLLA..'05 JAPAN TIPE ECE MANUAL;TW;DEPO;UNI;5,00;29,99
222521;212-1156R-LD-E;FAROL TOY CORONA/CALDINA 92 ADELANTE;TW;DEPO;UNI;211,00;16,50
222522;212-1156L-LD-E;FAROL TOY CORONA/CALDINA 92 ADELANTE;TW;DEPO;UNI;213,00;16,50
232413;212-1156-L-KO;FAROL TOY CORONA/CALDINA 92 ADELANTE KO;KO;S/M;UNI;67,00;9,50
232414;212-1156-R-KO;FAROL TOY CORONA/CALDINA 92 ADELANTE KO;KO;S/M;UNI;57,00;9,50
222625;212-1156PXLD-2;FAROL TOY CORONA/CALDINA TUNING 92 ADELANTE;TW;DEPO;SET;5,00;46,00
222683;212-1167R-LD-Y;FAROL TOY DINA 95/96/99 C/Y YL110/YL111/BU102;TW;DEPO;UNI;6,00;22,00
141520;212-11Y011-L;FAROL TOY GAIA;KO;S/M;UNI;8,00;21,00
141521;212-11Y011-R;FAROL TOY GAIA;KO;S/M;UNI;11,00;21,00
232468;212-11H1-L-KO;FAROL TOY HIACE 04/05 QUANTUM 2005-KO;KO;S/M;UNI;3,00;17,50
232469;212-11H1-R-KO;FAROL TOY HIACE 04/05 QUANTUM 2005-KO;KO;S/M;UNI;2,00;17,50
222736;212-1196-L-RD;FAROL TOY HIACE 93/94 RXH 101/102/103/104;TW;DEPO;UNI;10,00;31,00
222737;212-1196-R-RD;FAROL TOY HIACE 93/94 RZH 101/102/103/104;TW;DEPO;UNI;6,00;31,00
232419;212-1198L-LD;FAROL TOY HIACE 99 CRISTAL TUNING;TW;DEPO;UNI;10,00;39,00
232420;212-1198R-LD;FAROL TOY HIACE 99 CRISTAL TUNING;TW;DEPO;UNI;11,00;39,00
232472;212-1198-L-KO;FAROL TOY HIACE 99/JIN BEI 05;KO;S/M;UNI;14,00;16,70
232473;212-1198-R-KO;FAROL TOY HIACE 99/JIN BEI 05;KO;S/M;UNI;20,00;16,70
221705;212-1171R-LD-E;FAROL TOY HIACE GRANVIA 97;TW;DEPO;UNI;2,00;27,00
221641;312-1175-L-USN9;FAROL TOY HIGHLANDER 04/07;TW;DEPO;UNI;4,00;81,00
221642;312-1175-R-USN9;FAROL TOY HIGHLANDER 04/07;TW;DEPO;UNI;4,00;81,00
141522;212-11Y012-L;FAROL TOY IPSUM 2004/2006  KO;KO;S/M;UNI;119,00;36,00
141523;212-11Y012-R;FAROL TOY IPSUM 2004/2006 KO;KO;S/M;UNI;118,00;36,00
141501;212-11Y001-R;FAROL TOY IPSUM 99/200 YOI;KO;S/M;UNI;6,00;13,25
221678;312-1185L-US;FAROL TOY IST 04/05 SO.XA SPORT;TW;DEPO;UNI;5,00;101,00
221679;312-1185R-US;FAROL TOY IST 04/05 SOXA DEPORTIVO;TW;DEPO;UNI;4,00;101,00
221706;212-11C7L-LD;FAROL TOY KIJANG 02;TW;DEPO;UNI;4,00;22,00
221707;212-11C7R-LD;FAROL TOY KIJANG 02;TW;DEPO;UNI;3,00;22,00
221651;212-11C1L-LD-E;FAROL TOY LAND CRUISER FJ100 HZJ105 98;TW;DEPO;UNI;12,00;38,00
221652;212-11C1R-LD-E;FAROL TOY LAND CRUISER FJ100 HZJ105 98;TW;DEPO;UNI;12,00;38,00
141518;212-11Y010-L;FAROL TOY NADIA SXN10 98 KO;KO;S/M;UNI;45,00;15,80
141519;212-11Y010-R;FAROL TOY NADIA SXN10 98 KO;KO;S/M;UNI;44,00;15,80
141508;212-11Y005-L;FAROL TOY NOAH 96/99 BORDE PLOMO INTERIOR;KO;S/M;UNI;55,00;17,80
141509;212-11Y005-R;FAROL TOY NOAH 96/99 BORDE PLOMO INTERIOR;KO;S/M;UNI;52,00;17,80
141504;212-11Y003-L;FAROL TOY NOAH 96/99 YOI;KO;S/M;UNI;481,00;17,85
141505;212-11Y003-R;FAROL TOY NOAH 96/99 YOI;KO;S/M;UNI;483,00;17,85
222778;212-11D7L-LD-EM;FAROL TOY PRADO LAND CUSER '03. 07/08;TW;DEPO;UNI;12,00;50,00
222779;212-11D7R-LD-EM;FAROL TOY PRADO LAND CUSER '03. 07/08;TW;DEPO;UNI;5,00;50,00
221561;212-11F6R-LD-EM;FAROL TOY RAV 4 03/04 ECE ELCT;TW;DEPO;UNI;2,00;48,00
221560;212-11F6L-LD-EM;FAROL TOY RAV 4 03/04 ECE ELECT;TW;DEPO;UNI;2,00;48,00
221640;212-11K5R-LDEM1;FAROL TOY RAV 4 05-06;TW;DEPO;UNI;2,00;70,00
221639;212-11K5L-LDEM1;FAROL TOY RAV 4 '05-'06;TW;DEPO;UNI;2,00;70,00
221800;212-11N7LMLD-EM;FAROL TOY RAV 4 08-09 ECE.ELEC W/S MOTOR;TW;DEPO;UNI;16,00;85,00
221801;212-11N7RMLD-EM;FAROL TOY RAV 4 08-09 ECE.ELEC W/S MOTOR;TW;DEPO;UNI;16,00;85,00
222567;312-1153L-US;FAROL TOY RAV 4 2001/2003/2004;TW;DEPO;UNI;1,00;53,00
141502;212-11Y002-L;FAROL TOY SPACIO 98 YOI;KO;S/M;UNI;100,00;16,37
141503;212-11Y002-R;FAROL TOY SPACIO 98 YOI;KO;S/M;UNI;86,00;16,37
222529;212-1141R-LD-E;FAROL TOY SPRINTER 88/89;TW;DEPO;UNI;20,00;14,15
222530;212-1141L-LD-E;FAROL TOY SPRINTER 88/89;TW;DEPO;UNI;19,00;14,15
232411;212-1141-L-KO;FAROL TOY SPRINTER 88/89 KO;KO;S/M;UNI;33,00;8,00
232412;212-1141-R-KO;FAROL TOY SPRINTER 88/89 KO;KO;S/M;UNI;31,00;8,00
221722;212-11K7L-LD-EM;FAROL TOY VITZ/YARIS 5D ’05;TW;DEPO;UNI;8,00;51,00
221723;212-11K7R-LD-EM;FAROL TOY VITZ/YARIS 5D ’05;TW;DEPO;UNI;8,00;51,00
221713;212-11L2R-LD-EM;FAROL TOY VITZ/YARIS 5D '05 - '06;TW;DEPO;UNI;10,00;50,50
221712;212-11L2L-LD-EM;FAROL TOY VITZ/YARIS 5D '05-'06;TW;DEPO;UNI;11,00;50,50
232457;16-33-R;FAROL TOY WINGRO AD Y1198 /AD2004 NISSAN);KO;S/M;UNI;94,00;14,00
232456;16-33L;FAROL TOY WINGRO ADY11 98 /AD2004 NISSAN);KO;S/M;UNI;94,00;14,00
221794;312-1199L-US;FAROL TOY YARIS HATCHBACK  07-08;TW;DEPO;UNI;6,00;45,00
221795;312-1199R-US;FAROL TOY YARIS HATCHBACK  07-08;TW;DEPO;UNI;6,00;45,00
222660;212-11A2L-LD-EM;FAROL TOY YARIS/VITZ /99/2000/02;TW;DEPO;UNI;8,00;37,00
222661;212-11A2R-LD-EM;FAROL TOY YARIS/VITZ /99/2000/02;TW;DEPO;UNI;7,00;37,00
222766;212-11F7-L-LD-EM;FAROL TOY YARIS/VITZ /V TIPE 2000/2002;TW;DEPO;UNI;8,00;37,00
222767;212-11F7-R-LD-EM;FAROL TOY YARIS/VITZ /V TIPE 2000/2002;TW;DEPO;UNI;8,00;37,00
221610;212-11F5L-LD-EM;FAROL TOY YARIZ/HECHO 03/04;TW;DEPO;UNI;24,00;32,00
221611;212-11F5R-LD-EM;FAROL TOY YARIZ/HECHO 03/04;TW;DEPO;UNI;24,00;32,00
221688;212-11F3-L-LD-EM;FAROL TOY. AVENIS 03/05;TW;DEPO;UNI;2,00;63,50
221689;212-11F3-R-LD-EM;FAROL TOY. AVENSIS 03/05;TW;DEPO;UNI;2,00;63,50
222507;212-1162R-LD-E;FAROL TOY. COROLLA AE100 92/93;TW;DEPO;UNI;2,00;16,40
221465;212-11Q1L-RDHEM;FAROL TOY. HIACE VENTURY 2010 ELEC;TW;DEPO;PCS;31,00;90,00
221466;212-11Q1R-RDHEM;FAROL TOY. HIACE VENTURY 2010 ELEC;TW;DEPO;PCS;31,00;90,00
221485;212-11W1L-LDMN2;FAROL TOY. RAV4 2013;TW;DEPO;PCS;4,00;74,40
221486;212-11W1R-LDMN2;FAROL TOY. RAV4 2013;TW;DEPO;PCS;3,00;74,40
227118;212-11R3R-LDEM2;FAROL TOY. YARIS / VITZ 2011-13.;TW;DEPO;PCS;4,00;49,00
221487;212-11R3L-LDEM1;FAROL TOY. YARIS 2011-13 ECE.ELEC;TW;DEPO;PCS;4,00;49,00
221488;212-11R3R-LDEM1;FAROL TOY. YARIS 2011-13 ECE.ELEC;TW;DEPO;PCS;3,00;49,00
221873;312-11A1L-US1;FAROL TOY. YARIS SEDAN 07-11  (08-09 BASE);TW;DEPO;UNI;8,00;63,00
221874;312-11A1R-US1;FAROL TOY. YARIS SEDAN 07-11  (08-09 BASE);TW;DEPO;UNI;7,00;63,00
221939;312-11A8L-AS1;FAROL TOY.COROLLA 2009-10  MODEL USA;TW;DEPO;PCS;10,00;42,00
221940;312-11A8R-AS1;FAROL TOY.COROLLA 2009-10  MODEL USA;TW;DEPO;PCS;10,00;42,00
221974;212-11N5L-LD-EM;FAROL TOY.HIACE GRANVIA 2008.CRISTAL LIGHT;TW;DEPO;PCS;3,00;46,00
221975;212-11N5R-LD-EM;FAROL TOY.HIACE GRANVIA 2008.CRISTAL LIGHT;TW;DEPO;PCS;3,00;46,00
221489;212-11U5L-LDH-M;FAROL TOY.LAND CRUISER FJ200 2007/11;TW;DEPO;PCS;4,00;193,00
221490;212-11U5R-LDH-M;FAROL TOY.LAND CRUISER FJ200 2007/11;TW;DEPO;PCS;4,00;193,00
221821;212-11P8L-LD-EM;FAROL TOY.PRADO 2009/10 CRISTAL;TW;DEPO;UNI;1,00;95,00
221822;212-11P8R-LD-EM;FAROL TOY.PRADO 2009/10 CRISTAL;TW;DEPO;UNI;1,00;95,00
232407;212-1193-B-L-KO;FAROL TOY/COROLLA 99 CRISTAL NEGRO TUNING;TW;S/M;UNI;2,00;13,00
222680;212-1166L-LD-E;FAROL TOYOTA RAV 4 97;TW;DEPO;UNI;4,00;31,20
222681;212-1166R-LD-E;FAROL TOYOTA RAV 4 97;TW;DEPO;UNI;3,00;31,20
232444;6001-FC-KO-GLASS;FAROL UNIV/CHICO RECTANG H4 F/CAMBIABLE GLASS;KO;S/M;UNI;91,00;1,20
227105;773-1116N-LD-E;FAROLVOLKSWAGEN TRUK FH12/16&FM7/12 1993-2002 L/R;TW;DEPO;PCS;55,00;23,00
122472;13780-79210;FILTRO DE AIRE SUZUKI EMP-265 MUE-124;TW;NAK;UNI;20,00;2,35
141526;212-11Y014-L;FOCO HALOGENO PAR TOY PROBOX 2005 KO;KO;S/M;UNI;80,00;8,10
141527;212-11Y014-R;FOCO HALOGENO PAR TOY PROBOX 2005 KO;KO;S/M;UNI;85,00;8,10
141531;212-11Y016-R;FOCO HALOGENO PARACH IPSUM 2000 CRISTAL;KO;S/M;UNI;69,00;7,60
221653;212-2002N;FOCO HALOGENO ROMPENIEBLA H3 TOY LAND CRUISER FJ75 ’85-’02 AMARILLO;TW;DEPO;UNI;15,00;4,60
221658;214-2017-L-A-Y;FOCO HALOGENO ROMPENIEBLA MITUBISHI FUSO 350;TW;S/M;UNI;4,00;30,59
221659;214-2017-R-A-T;FOCO HALOGENO ROMPENIEBLA MITUBISHI FUSO 350;TW;S/M;UNI;3,00;30,59
221520;H4-12V-200/260W;FOCO HALOGENO SUPER H4-12V 200/260W P43T 2PC;KO;S/M;SET;238,00;1,70
222463;VF5158;FOCO HALOGENO SUPER WHITE AZULADO H4-12V P43T;TW;S/M;SET;559,00;1,63
141528;212-11Y015-L;FOCO HALOGENO TOY IPSUM 2005/2006 KO;KO;S/M;UNI;27,00;8,10
141529;212-11Y015-R;FOCO HALOGENO TOY IPSUM 2005/2006 KO;KO;S/M;UNI;5,00;8,10
232875;HLL01-4159-4160;GUARDABARRO TOY PROBOX NCP55 98 SET 4 PCS;KO;S/M;SET;3,00;6,00
229445;SZ10037AL;GUARDAFANDO SUZUKI SX-4/FT 07 L Sedici W/S.L.& Flare Hole;TW;TYG;UNI;1,00;34,50
229444;SZ10037AR;GUARDAFANDO SUZUKI SX-4/FT 07 R Sedici W/S.L.& Flare Hole;TW;TYG;UNI;1,00;34,50
229364;MB10075AL;GUARDAFANGO MITSUBISHI LANCER 08 C/ojo de farol lat.;TW;TYG;UNI;3,00;22,00
229365;MB10075AR;GUARDAFANGO MITSUBISHI LANCER 08 C/ojo de farol lat.;TW;TYG;UNI;3,00;22,00
229452;MB10052AR;GUARDAFANGO MITSUBISHI MONTERO SPORT 2000 S/ Flare Hole;TW;TYG;UNI;2,00;116,00
229453;MB10052AL;GUARDAFANGO MITSUBISHI MONTERO SPORT 2000 S/ Flare Hole;TW;TYG;UNI;2,00;116,00
229463;DS10133AR;GUARDAFANGO NISSAN FRONTIER 02 /2WD C/Side lamp hole '02-;TW;TYG;UNI;3,00;23,00
229343;53812-1H100;GUARDAFANGO TOY COROLLA 04-06 LH W/S.L.HOLE;TW;TYG;UNI;1,00;35,99
229331;TY10070AL;GUARDAFANGO TOY CORONA 92/97  S/ojo -7 (TKY);TW;TYG;UNI;1,00;37,44
229332;TY10070AR;GUARDAFANGO TOY CORONA 92/97  S/ojo -7 (TKY);TW;TYG;UNI;10,00;25,00
229248;TY11211AL;GUARDAFANGO TOY IST  SO.XA '04-'05 DEPOTIVO;TW;TYG;UNI;24,00;11,30
229249;TY11211AR;GUARDAFANGO TOY IST  SO.XA '04-'05 DEPOTIVO;TW;TYG;UNI;24,00;11,30
229454;TY10293AR;GUARDAFANGO TOY RUNNER 010;TW;TYG;UNI;1,00;149,00
229455;TY10293AL;GUARDAFANGO TOY RUNNER 010;TW;TYG;UNI;1,00;149,00
229458;TY10328AR;GUARDAFANGO TOY TUNDRA 014  (OTN);TW;TYG;UNI;1,00;140,00
