;CODIGO;D E T A L L E ;Recuento;;;;;;
177;C-VITARA-97;Capota TOYOTA HILUX SURF ;0;;;;;Cola DE PATO SUBARU FORESTER 2000  Cola LARGO;1
1090;CH-216028;Capuchón CON TOPE DE Amortiguador;0;;;;;Cola DE PATO SUBARU FORESTER 2000 Fibra vidrio Cola CORTA;1
7;860012;Capuchón de cremallera HIDRAULICO CORTO MAMUT;0;;;;;Cola DE PATO SUBARU FORESTER 2000 JAPONÉS ;0
;850036;Capuchón de JUNTA CE90/AE90 MAMUT;0;;;;;Cola DE PATO SUBARU FORESTER 97;0
;850080;Capuchón de JUNTA CE90/AE90 MAMUT ;0;;;;;COLA DE PATO SUZUKI SWIFT 2012-2013;0
;860009;Capuchón de TRICETA Toyota AE90~CE90 MAMUT;1;;;;;COLA DE PATO SUZUKI SWIFT 2016-2017;0
902;CON-VAR;Chisguete DE PARCHOQUE MONTERO ;0;;;;;Consola CENTRAL;0
1081;CP-RAV4;Cola DE PATO IMPREZA2004 FIBRA AZUL;1;;;;;CONSOLA CENTRAL SUBARU FORESTER carbono;0
1081;CP-RAV4-F;COLA DE PATO MITSUBISHI GRANDIS ;0;;;;;CONSOLA CENTRAL SUBARU FORESTER fibra;0
;CP-SWIFT-13;Cola DE PATO RAV 4 98 FIBRA;1;;;;;Consola de Radio CARIB Café;0
;CP-SUB-FOR-OEM;Cola DE PATO RAV 4 98 ORIGINAL ;0;;;;;COROLLA 2 88;1
;CP-FORESTER-00-L;COLA DE PATO SUBARU DOMINGO ;0;;;;;COROLLA 90 MAMMUT ;2
1081;CP-IMPREZA-F;Cola DE PATO SUBARU FORESTER 2000  Cola LARGO;1;;;;;Cruceta de dirección Completa TOYOTA  AE 90  ( CARDAN ) YOI-273;0
1082;CP-FORESTER97;Cola DE PATO SUBARU FORESTER 2000 Fibra vidrio Cola CORTA;1;;;;;Cruceta de dirección Completa TOYOTA TURING HIDRAULICO CORTO YOI-265;0
;CP-SWIFT-17;Cola DE PATO SUBARU FORESTER 2000 JAPONÉS ;0;;;;;Cruceta de dirección Completa YOI-272 UNIVERSAL;0
;CP-MIT-GRANDIS;Cola DE PATO SUBARU FORESTER 97;0;;;;;CRUCETA suelta;4
908;CPU-1F;COLA DE PATO SUZUKI SWIFT 2012-2013;0;;;;;DISCO DE EMBREAGUE EXEDY SUZUKI APV;0
897;CPU-3S-G  ;COLA DE PATO SUZUKI SWIFT 2016-2017;0;;;;;Disco Subaru DOMINGO;0
1082;CP-FORESTER-00-F;Consola CENTRAL;0;;;;;ECU SUBARU;0
;T-SF5-C;CONSOLA CENTRAL SUBARU FORESTER carbono;0;;;;;ECU TOYOTA 3SG;0
;T-SF5-F;CONSOLA CENTRAL SUBARU FORESTER fibra;0;;;;;ELSEJO B13;0
;CP-DOMINGO ;Consola de Radio CARIB Café;0;;;;;Embellecedor CALDINA GT;0
