CODIGO_ITEM ;NRO_PIEZA ;CODIGO_2 ;CODIGO_SUSTITUTO_1 ;DESCRIPCION ;CATEGORIA ;PRECIO_1_BS ;PESO ;VOL_CM3_UNID ;VOL_CBM_UNID ;UNID_X_CAJA ;NOMBRE_FAMILIA ;NOMBRE_GRUPO ;NOMBRE_SUBGRUPO ;NOMBRE_MARCA ;NOMBRE_UNIDAD ;NOMBRE_ORIGEN ;ALMACEN ;STOCK_MINIMO ;STOCK_MAXIMO ;NOMBRE_PROVEEDOR_1 ;NOMBRE_PROVEEDOR_2 ;NOMBRE_PROVEEDOR_3 ;CANTIDAD ;
212-11U5L-LDH-M;;81185-60F20;221489;FAROL TOY,LAND CRUISER FJ200 2007/11;ACCESORIO;3669;7,345;0,5;0,5;2;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL RADIAL 26: (1), SUCURSAL KM.14: (1), A: (3), E: (0);;;DEPO;;;5;
212-1193L-RD;;212-1193-L;212-1193-L;FAROL TOY-COROLLA AE101 99;ACCESORIO;405;0,5;0,5;0,5;6;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;SUCURSAL KM.14: (2), PAU: (0), A: (0), E: (0);;;DEPO;FERIA BL;;2;
312-11D8R-AS;;312-11D8R-AS;;FAROL TOYOTA TUNDRA 14-15 ASIY ALOGEN;ACCESORIO;2657;1,25;0,01;0,01;2;TOYOTA;ACCESORIOS;ILUMINACION;DEPO;UNIDAD;TAIWAN;PAU: (0), A: (2), E: (0);;;DEPO;;;2;
CH-216034;;;"S25 BAZ15D";FOCO 12V*21-4W UNIV 2 FIL-BLANCO PATA DISPAREJA MOTOS AUTOS;ACCESORIO;1,8;0,002;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (0), MUESTRAS: (10), CENTRAL MONTERO: (0), A: (240), E: (3550);0;0;HANGZHOU-AM;FERIA BL;;3800;
CH-216029;;;"T20";FOCO 12V*21-5W, CUÑA GRANDE S-SOQUETE 2 FIL-BLANCO;ACCESORIO;2,7;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;MUESTRAS: (0), CENTRAL MONTERO: (0), PAU: (0), A: (1), E: (0);;;HANGZHOU-AM;;;1;
CH-216036;;;"S25 BAY15D";FOCO 12V*21-5W, UNIVERSAL STOP 2 FIL-BLANCO;ACCESORIO;1,8;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;CENTRAL MONTERO: (0), PAU: (0), A: (20), E: (0);;;HANGZHOU-AM;FERIA BL;;20;
CH-216031;;;"T20";FOCO 12V*21-5W,CUÑA GRANDE S-SOQUETE 2 FIL-NARANJA;ACCESORIO;2,7;0,01;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), MUESTRAS: (10), CENTRAL MONTERO: (0), A: (420), E: (3200);;;HANGZHOU-AM;FERIA BL;;3640;
CH-216028;;;"T20";FOCO 12V*21W, CUÑA GRANDE S-SOQUETE 1 FIL-BLANCO;ACCESORIO;2,7;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), A: (10), E: (0);;;HANGZHOU-AM;FERIA BL;;19;
CH-216037;;;"S25 BA15D";FOCO 12V*21W, UNIV 2 FIL-BLANCO MOTOS/AUTOS;ACCESORIO;0,9;0,02;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;FALLAS DE FABRICA: (40), MUESTRAS: (10), CENTRAL MONTERO: (0), A: (760), E: (3360);0;0;HANGZHOU-AM;FERIA BL;;4170;
CH-216030;;;"T20";FOCO 12V*21W,CUÑA GRANDE S-SOQUETE 1 FIL-NARANJA;ACCESORIO;2,7;0,01;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), CENTRAL MONTERO: (0), A: (990), E: (680);;;HANGZHOU-AM;;;1680;
CH-216025;;;"3157";FOCO 12V*27-7W, CUÑA GRANDE C-SOQUETE 2 FIL- BLANCO;ACCESORIO;3,6;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), A: (519), E: (5100);;;HANGZHOU-AM;FERIA BL;;5628;
CH-216027;;;"3157";FOCO 12V*27-7W, CUÑA GRANDE C-SOQUETE 2 FIL- NARANJA;ACCESORIO;3,6;0,01;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (0), CENTRAL MONTERO: (0), A: (349), E: (3270);;;HANGZHOU-AM;FERIA BL;;3619;
CH-216024;;;"3156";FOCO 12V*27W, CUÑA GRANDE C-SOQUETE 1 FIL-BLANCO;ACCESORIO;2,7;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;FALLAS DE FABRICA: (1), SUCURSAL KM.14: (2), CENTRAL MONTERO: (0), PAU: (0), A: (694), E: (4380);;;HANGZHOU-AM;FERIA BL;;5077;
CH-216026;;;3157;FOCO 12V*27W, CUÑA GRANDE C-SOQUETE 1 FIL-NARANJA;ACCESORIO;3,6;0,01;0,0058;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;BOLIVIA;SUCURSAL KM.14: (0), CENTRAL MONTERO: (0), A: (590), E: (3670);;;HANGZHOU-AM;FERIA BL;;4260;
